ID,Make,Model,Make_Year,Color,Body_Type,kilometers_run,No_of_Owners,Seating_Capacity,Fuel_Type,Fuel_Tank_Capacity(L),CC_Displacement,Transmission,Transmission_Type,Power(BHP),Torque(Nm),kilometer_at_liter,Price
392,7,32,2020,13,2,36581.0,1,5,1,60,1596,5,1,167.68,350.0,17.41,20533.33333333333
393,7,32,2020,13,2,36581.0,1,5,1,60,1956,6,1,167.68,350.0,17.41,20533.33333333333
394,7,32,2020,13,2,36581.0,1,5,1,60,1956,6,1,167.68,350.0,17.41,20533.33333333333
395,4,14,2016,11,2,37702.0,2,5,2,60,1591,6,1,122.0,154.0,15.29,10477.777777777776
396,4,15,2018,11,4,30876.0,1,5,2,45,1197,5,2,82.0,115.0,18.6,7877.777777777777
397,15,85,2011,13,4,92227.0,2,5,2,45,1199,5,1,74.0,110.0,16.2,4466.666666666667
398,15,83,2017,7,1,24747.0,1,5,2,45,1298,5,2,73.75,110.0,17.0,7177.777777777777
399,4,27,2013,13,4,26671.0,2,5,2,35,1086,5,1,68.05,99.04,19.81,3711.1111111111113
400,9,53,2013,11,4,84739.0,1,5,1,43,1248,5,1,74.0,190.0,22.9,5511.111111111111
401,15,85,2017,12,4,90423.0,1,5,1,45,1498,5,1,88.0,230.0,20.18,8166.666666666667
402,9,50,2015,5,4,40632.0,1,5,2,43,1197,5,1,85.0,113.0,18.5,5411.111111111111
403,9,50,2013,12,4,59010.0,1,5,2,43,1197,5,1,85.0,113.0,18.5,4555.555555555556
404,4,15,2018,11,4,24732.0,1,5,2,45,1197,5,2,82.0,115.0,18.6,8511.111111111111
405,6,31,2020,11,2,14077.0,1,5,2,50,1353,6,1,138.0,242.0,16.1,18300.0
406,4,16,2013,3,4,19600.0,1,5,2,32,814,5,1,55.2,74.5,21.1,3455.555555555556
407,4,27,2015,12,4,25413.0,2,5,2,35,1197,5,1,68.0,99.08,19.81,4344.444444444444
408,4,17,2017,12,1,95862.0,1,5,1,43,1582,6,1,126.0,260.0,24.8,9666.666666666666
409,9,56,2012,3,4,53015.0,2,5,2,35,998,5,1,67.1,90.0,18.9,3588.8888888888887
410,3,11,2015,8,4,63279.0,1,5,2,40,1199,5,1,88.51,110.0,16.6,6644.444444444444
411,4,26,2017,7,1,73591.0,1,5,2,43,1197,5,1,81.86,113.75,20.14,6544.444444444444
412,9,43,2017,13,4,79503.0,1,5,2,35,998,5,2,67.04,90.0,23.1,5155.555555555556
413,4,24,2014,11,1,60227.0,1,5,1,43,1582,6,1,126.0,260.0,21.9,7800.0
414,11,63,2021,3,4,5564.0,1,5,2,28,799,5,2,53.0,72.0,20.71,5244.444444444444
415,11,63,2017,13,4,71696.0,1,5,2,28,999,5,1,67.0,91.0,23.01,3922.222222222222
416,15,85,2011,2,4,44787.0,2,5,2,45,1199,5,1,74.0,110.0,16.2,4466.666666666667
417,4,14,2017,11,2,68295.0,2,5,2,60,1591,6,1,122.0,154.0,15.29,10855.555555555557
418,9,41,2016,13,4,38868.0,2,5,2,35,998,5,1,67.0,90.0,24.07,3977.777777777778
419,9,50,2012,3,4,40411.0,1,5,2,45,1197,5,1,85.0,113.0,18.5,4433.333333333333
420,4,15,2020,13,4,17156.0,1,5,2,40,1197,5,2,81.86,117.0,18.6,9288.888888888889
421,2,4,2017,2,2,12761.0,2,5,2,52,1499,5,1,110.0,140.0,15.8,8922.222222222223
422,9,40,2021,7,4,10563.0,1,5,2,35,796,5,1,47.3,69.0,22.05,4555.555555555556
423,4,15,2018,11,4,13948.0,1,5,2,45,1197,5,2,82.0,115.0,18.6,8833.333333333334
424,4,24,2019,12,1,6165.0,1,5,2,45,1591,6,2,121.3,151.0,17.0,14066.666666666666
425,4,27,2012,11,4,44478.0,2,5,2,35,1197,5,1,78.9,111.7,20.36,3811.1111111111113
426,4,27,2011,6,4,85895.0,1,5,2,35,1197,5,1,78.9,111.8,20.36,4022.222222222222
427,1,3,2017,11,4,42187.0,1,5,2,28,799,5,1,53.64,72.0,20.71,3333.333333333333
428,4,15,2016,3,4,88795.0,1,5,1,45,1396,6,1,88.73,219.7,22.54,7711.111111111111
429,4,28,2013,7,4,45000.0,2,5,2,45,1197,5,1,82.85,113.7,18.5,5377.777777777777
430,3,10,2018,13,1,14861.0,1,5,2,40,1497,5,2,117.6,145.0,17.4,11122.222222222224
431,4,27,2014,11,4,61455.0,1,5,2,35,1197,5,1,68.0,99.08,19.81,4266.666666666667
432,3,13,2019,5,2,23697.0,1,5,2,40,1199,5,1,88.5,110.0,16.5,9533.333333333334
