ID,Make,Model,Make_Year,Color,Body_Type,kilometers_run,No_of_Owners,Seating_Capacity,Fuel_Type,Fuel_Tank_Capacity(L),CC_Displacement,Transmission,Transmission_Type,Power(BHP),Torque(Nm),kilometer_at_liter,Price
765,Toyota,Glanza,2021,red,hatchback,6738.0,1,5,petrol,37,1596,5-Speed,Manual,81.8,113.0,21.01,9411.111111111111
766,Toyota,Glanza,2021,red,hatchback,6738.0,1,5,petrol,37,1596,5-Speed,Manual,81.8,113.0,21.01,9411.111111111111
767,Toyota,Glanza,2021,red,hatchback,6738.0,1,5,petrol,37,1197,5-Speed,Manual,81.8,113.0,21.01,9411.111111111111
768,Toyota,Glanza,2021,red,hatchback,6738.0,1,5,petrol,37,1197,5-Speed,Manual,81.8,113.0,21.01,9411.111111111111
769,Honda,City,2020,brown,sedan,18402.0,1,5,petrol,40,1498,6-Speed,Manual,119.35,145.0,18.4,15677.777777777777
770,Ford,EcoSport,2013,silver,suv,95381.0,1,5,diesel,52,1498,5-Speed,Manual,89.0,204.0,22.7,6211.111111111111
771,Honda,Jazz,2016,orange,hatchback,22856.0,1,5,petrol,40,1199,5-Speed,Manual,88.51,110.0,16.6,6944.444444444444
772,MarutiSuzuki,Ciaz,2019,white,sedan,15251.0,2,5,petrol,43,1462,4-Speed,Automatic,103.25,138.0,20.0,11100.0
773,Hyundai,Elitei20,2017,grey,hatchback,57394.0,1,5,petrol,45,1197,5-Speed,Manual,81.83,114.7,18.6,7522.222222222223
774,MarutiSuzuki,Eeco,2020,grey,muv,26856.0,1,5,petrol,40,1197,5-Speed,Manual,72.42,98.0,16.11,5500.0
775,Hyundai,Xcent,2019,grey,sedan,9421.0,1,5,petrol,43,1197,5-Speed,Manual,81.86,113.75,20.14,8455.555555555555
776,MarutiSuzuki,Baleno,2016,blue,hatchback,56204.0,2,5,petrol,37,1197,5-Speed,Manual,81.8,113.0,21.01,7188.888888888889
777,Honda,City,2017,grey,sedan,16936.0,1,5,petrol,40,1497,5-Speed,Manual,117.6,145.0,17.4,9744.444444444445
778,MarutiSuzuki,Dzire,2021,silver,sedan,15443.0,1,5,petrol,37,1197,5-Speed,Manual,88.5,113.0,23.26,8155.555555555556
779,Hyundai,Elitei20,2016,grey,hatchback,49826.0,1,5,petrol,45,1197,5-Speed,Manual,81.83,114.7,18.6,7344.444444444444
780,MarutiSuzuki,Alto800,2020,grey,hatchback,7140.0,1,5,petrol,35,796,5-Speed,Manual,47.3,69.0,22.05,4955.555555555556
